timestamp,elapsed_seconds,system_memory_total_gb,system_memory_used_gb,system_memory_percent,system_memory_available_gb,system_memory_cached_gb,system_memory_buffers_gb,system_swap_total_gb,system_swap_used_gb,system_swap_percent,anem.py_pid,anem.py_memory_mb,anem.py_memory_percent,anem.py_cpu_percent,anem.py_status,pwm.py_pid,pwm.py_memory_mb,pwm.py_memory_percent,pwm.py_cpu_percent,pwm.py_status,gps.py_pid,gps.py_memory_mb,gps.py_memory_percent,gps.py_cpu_percent,gps.py_status,imu.py_pid,imu.py_memory_mb,imu.py_memory_percent,imu.py_cpu_percent,imu.py_status,control.py_pid,control.py_memory_mb,control.py_memory_percent,control.py_cpu_percent,control.py_status,battery_water.py_pid,battery_water.py_memory_mb,battery_water.py_memory_percent,battery_water.py_cpu_percent,battery_water.py_status,temp_monitor.py_pid,temp_monitor.py_memory_mb,temp_monitor.py_memory_percent,temp_monitor.py_cpu_percent,temp_monitor.py_status
2025-09-15 04:00:07,0.0,1.94,1.03,58.7,0.80,0.56,0.15,0.97,0.26,26.8,,0.0,0.00,0.0,STOPPED,,0.0,0.00,0.0,STOPPED,,0.0,0.00,0.0,STOPPED,,0.0,0.00,0.0,STOPPED,,0.0,0.00,0.0,STOPPED,,0.0,0.00,0.0,STOPPED,,0.0,0.00,0.0,STOPPED
2025-09-15 04:00:18,10.3,1.94,1.04,59.0,0.79,0.56,0.15,0.97,0.26,26.8,,0.0,0.00,0.0,STOPPED,,0.0,0.00,0.0,STOPPED,,0.0,0.00,0.0,STOPPED,,0.0,0.00,0.0,STOPPED,,0.0,0.00,0.0,STOPPED,,0.0,0.00,0.0,STOPPED,,0.0,0.00,0.0,STOPPED
2025-09-15 04:00:28,20.5,1.94,1.04,59.1,0.79,0.56,0.15,0.97,0.26,26.8,,0.0,0.00,0.0,STOPPED,,0.0,0.00,0.0,STOPPED,,0.0,0.00,0.0,STOPPED,,0.0,0.00,0.0,STOPPED,,0.0,0.00,0.0,STOPPED,,0.0,0.00,0.0,STOPPED,,0.0,0.00,0.0,STOPPED
2025-09-15 04:00:38,30.8,1.94,1.04,59.1,0.79,0.56,0.15,0.97,0.26,26.8,,0.0,0.00,0.0,STOPPED,,0.0,0.00,0.0,STOPPED,,0.0,0.00,0.0,STOPPED,,0.0,0.00,0.0,STOPPED,,0.0,0.00,0.0,STOPPED,,0.0,0.00,0.0,STOPPED,,0.0,0.00,0.0,STOPPED
2025-09-15 04:00:48,41.0,1.94,1.05,59.3,0.79,0.56,0.15,0.97,0.26,26.8,,0.0,0.00,0.0,STOPPED,,0.0,0.00,0.0,STOPPED,,0.0,0.00,0.0,STOPPED,,0.0,0.00,0.0,STOPPED,,0.0,0.00,0.0,STOPPED,,0.0,0.00,0.0,STOPPED,,0.0,0.00,0.0,STOPPED
2025-09-15 04:00:59,51.3,1.94,1.05,59.7,0.78,0.56,0.15,0.97,0.26,26.8,,0.0,0.00,0.0,STOPPED,,0.0,0.00,0.0,STOPPED,,0.0,0.00,0.0,STOPPED,,0.0,0.00,0.0,STOPPED,,0.0,0.00,0.0,STOPPED,,0.0,0.00,0.0,STOPPED,,0.0,0.00,0.0,STOPPED
2025-09-15 04:01:09,61.5,1.94,1.05,59.7,0.78,0.56,0.15,0.97,0.26,26.8,,0.0,0.00,0.0,STOPPED,,0.0,0.00,0.0,STOPPED,,0.0,0.00,0.0,STOPPED,,0.0,0.00,0.0,STOPPED,,0.0,0.00,0.0,STOPPED,,0.0,0.00,0.0,STOPPED,,0.0,0.00,0.0,STOPPED
2025-09-15 04:01:19,71.7,1.94,1.05,59.7,0.78,0.56,0.15,0.97,0.26,26.8,,0.0,0.00,0.0,STOPPED,,0.0,0.00,0.0,STOPPED,,0.0,0.00,0.0,STOPPED,,0.0,0.00,0.0,STOPPED,,0.0,0.00,0.0,STOPPED,,0.0,0.00,0.0,STOPPED,,0.0,0.00,0.0,STOPPED
2025-09-15 04:01:29,81.9,1.94,1.25,70.1,0.58,0.50,0.14,0.97,0.26,27.0,177329,50.5,2.54,0.0,RUNNING,177331,52.8,2.66,0.0,RUNNING,177333,53.1,2.68,0.0,RUNNING,177335,51.4,2.59,0.0,RUNNING,177337,51.9,2.61,0.0,RUNNING,177339,47.6,2.40,2114.4,RUNNING,177341,39.5,1.99,0.0,RUNNING
2025-09-15 04:01:40,92.4,1.94,1.26,70.6,0.57,0.50,0.14,0.97,0.26,27.1,,0.0,0.00,0.0,STOPPED,177331,52.9,2.66,0.0,RUNNING,177333,53.3,2.68,0.0,RUNNING,177335,52.5,2.64,0.0,RUNNING,177337,53.1,2.67,0.0,RUNNING,177339,72.4,3.64,0.0,RUNNING,177341,39.6,1.99,0.0,RUNNING
2025-09-15 04:01:50,102.6,1.94,1.13,63.8,0.70,0.50,0.14,0.97,0.26,27.1,,0.0,0.00,0.0,STOPPED,177331,52.9,2.66,0.0,RUNNING,177333,53.3,2.68,0.0,RUNNING,177335,52.5,2.64,0.0,RUNNING,177337,53.1,2.67,0.0,RUNNING,177339,72.4,3.64,0.0,RUNNING,177341,39.6,1.99,0.0,RUNNING
2025-09-15 04:02:00,113.0,1.94,0.60,36.3,1.24,0.50,0.14,0.97,0.26,27.1,,0.0,0.00,0.0,STOPPED,177331,53.0,2.67,0.0,RUNNING,177333,53.3,2.68,0.0,RUNNING,177335,52.5,2.64,0.0,RUNNING,177337,53.1,2.67,0.0,RUNNING,177339,72.4,3.64,0.0,RUNNING,177341,39.6,1.99,0.0,RUNNING
2025-09-15 04:02:10,123.2,1.94,0.60,36.3,1.24,0.50,0.14,0.97,0.26,27.1,,0.0,0.00,0.0,STOPPED,177331,53.0,2.67,0.0,RUNNING,177333,53.3,2.68,0.0,RUNNING,177335,52.5,2.64,0.0,RUNNING,177337,53.1,2.67,0.0,RUNNING,177339,72.4,3.64,0.0,RUNNING,177341,39.6,1.99,0.0,RUNNING
2025-09-15 04:02:21,133.4,1.94,0.60,36.2,1.24,0.50,0.14,0.97,0.26,27.1,,0.0,0.00,0.0,STOPPED,177331,53.0,2.67,0.0,RUNNING,177333,53.3,2.68,0.0,RUNNING,177335,52.5,2.64,0.0,RUNNING,177337,53.4,2.69,0.0,RUNNING,177339,72.4,3.64,0.0,RUNNING,177341,39.6,1.99,0.0,RUNNING
2025-09-15 04:02:31,143.6,1.94,0.60,36.2,1.24,0.50,0.14,0.97,0.26,27.1,,0.0,0.00,0.0,STOPPED,177331,53.0,2.67,0.0,RUNNING,177333,53.3,2.68,0.0,RUNNING,177335,52.5,2.64,0.0,RUNNING,177337,53.4,2.69,0.0,RUNNING,177339,72.4,3.64,0.0,RUNNING,177341,39.7,2.00,0.0,RUNNING
2025-09-15 04:02:41,153.9,1.94,0.59,36.1,1.24,0.50,0.14,0.97,0.26,27.0,,0.0,0.00,0.0,STOPPED,177331,53.0,2.67,0.0,RUNNING,177333,53.3,2.68,0.0,RUNNING,177335,52.5,2.64,0.0,RUNNING,177337,53.4,2.69,0.0,RUNNING,177339,72.4,3.64,0.0,RUNNING,177341,39.7,2.00,0.0,RUNNING
2025-09-15 04:02:51,164.1,1.94,0.59,36.1,1.24,0.50,0.14,0.97,0.26,27.0,,0.0,0.00,0.0,STOPPED,177331,53.0,2.67,0.0,RUNNING,177333,53.3,2.68,0.0,RUNNING,177335,52.5,2.64,0.0,RUNNING,177337,53.4,2.69,0.0,RUNNING,177339,72.4,3.64,0.0,RUNNING,177341,39.7,2.00,0.0,RUNNING
2025-09-15 04:03:02,174.3,1.94,0.59,36.1,1.24,0.50,0.14,0.97,0.26,27.0,,0.0,0.00,0.0,STOPPED,177331,53.0,2.67,0.0,RUNNING,177333,53.3,2.68,0.0,RUNNING,177335,52.5,2.64,0.0,RUNNING,177337,53.4,2.69,0.0,RUNNING,177339,72.4,3.64,0.0,RUNNING,177341,39.7,2.00,0.0,RUNNING
2025-09-15 04:03:12,184.5,1.94,0.59,36.1,1.24,0.50,0.14,0.97,0.26,27.0,,0.0,0.00,0.0,STOPPED,177331,53.0,2.67,0.0,RUNNING,177333,53.3,2.68,0.0,RUNNING,177335,52.5,2.64,0.0,RUNNING,177337,53.4,2.69,0.0,RUNNING,177339,72.4,3.64,0.0,RUNNING,177341,39.7,2.00,0.0,RUNNING
2025-09-15 04:03:22,194.7,1.94,0.59,36.1,1.24,0.50,0.14,0.97,0.26,26.8,,0.0,0.00,0.0,STOPPED,177331,53.0,2.67,0.0,RUNNING,177333,53.3,2.68,0.0,RUNNING,177335,52.5,2.64,0.0,RUNNING,177337,53.4,2.69,0.0,RUNNING,177339,72.4,3.64,0.0,RUNNING,177341,39.7,2.00,0.0,RUNNING
2025-09-15 04:03:32,205.0,1.94,0.59,36.1,1.24,0.50,0.14,0.97,0.26,26.8,,0.0,0.00,0.0,STOPPED,177331,53.0,2.67,0.0,RUNNING,177333,53.3,2.68,0.0,RUNNING,177335,52.5,2.64,0.0,RUNNING,177337,53.4,2.69,0.0,RUNNING,177339,72.4,3.64,0.0,RUNNING,177341,39.7,2.00,0.0,RUNNING
2025-09-15 04:03:42,215.2,1.94,0.59,36.1,1.24,0.50,0.14,0.97,0.26,26.8,,0.0,0.00,0.0,STOPPED,177331,53.0,2.67,0.0,RUNNING,177333,53.3,2.68,0.0,RUNNING,177335,52.5,2.64,0.0,RUNNING,177337,53.4,2.69,0.0,RUNNING,177339,72.4,3.64,0.0,RUNNING,177341,39.7,2.00,0.0,RUNNING
2025-09-15 04:03:53,225.5,1.94,0.59,36.1,1.24,0.50,0.14,0.97,0.26,26.8,,0.0,0.00,0.0,STOPPED,177331,53.0,2.67,0.0,RUNNING,177333,53.3,2.68,0.0,RUNNING,177335,52.5,2.64,0.0,RUNNING,177337,53.4,2.69,0.0,RUNNING,177339,72.4,3.64,0.0,RUNNING,177341,39.7,2.00,0.0,RUNNING
2025-09-15 04:04:03,235.7,1.94,0.59,36.1,1.24,0.50,0.14,0.97,0.26,26.8,,0.0,0.00,0.0,STOPPED,177331,53.0,2.67,0.0,RUNNING,177333,53.3,2.68,0.0,RUNNING,177335,52.5,2.64,0.0,RUNNING,177337,53.4,2.69,0.0,RUNNING,177339,72.4,3.64,0.0,RUNNING,177341,39.7,2.00,0.0,RUNNING
2025-09-15 04:04:13,245.9,1.94,0.59,36.1,1.24,0.50,0.14,0.97,0.26,26.8,,0.0,0.00,0.0,STOPPED,177331,53.0,2.67,0.0,RUNNING,177333,53.3,2.68,0.0,RUNNING,177335,52.5,2.64,0.0,RUNNING,177337,53.4,2.69,0.0,RUNNING,177339,72.4,3.64,0.0,RUNNING,177341,39.7,2.00,0.0,RUNNING
2025-09-15 04:04:23,256.1,1.94,0.59,36.1,1.24,0.50,0.14,0.97,0.26,26.8,,0.0,0.00,0.0,STOPPED,177331,53.0,2.67,0.0,RUNNING,177333,53.3,2.68,0.0,RUNNING,177335,52.5,2.64,0.0,RUNNING,177337,53.4,2.69,0.0,RUNNING,177339,72.4,3.64,0.0,RUNNING,177341,39.7,2.00,0.0,RUNNING
