nohup: ignoring input
🔍 Starting memory monitor for 30 minutes
📊 Recording every 10 seconds
💾 Data will be saved to: /home/orangepi/argo/memory_usage_20250915_040007.csv
⏰ Started at: 2025-09-15 04:00:07
⏰ Will finish at: 2025-09-15 04:30:07
============================================================
[2025-09-15 04:08:29] Elapsed: 501s | System: 31.8% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:08:39] Elapsed: 512s | System: 31.8% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:08:49] Elapsed: 522s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:08:59] Elapsed: 532s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:09:10] Elapsed: 542s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:09:20] Elapsed: 553s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:09:30] Elapsed: 563s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:09:40] Elapsed: 573s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:09:50] Elapsed: 583s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:10:01] Elapsed: 593s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:10:11] Elapsed: 604s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:10:21] Elapsed: 614s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:10:31] Elapsed: 624s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:10:42] Elapsed: 634s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:10:52] Elapsed: 645s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:11:02] Elapsed: 655s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:11:12] Elapsed: 665s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:11:22] Elapsed: 675s | System: 32.0% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:11:33] Elapsed: 685s | System: 32.0% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:11:43] Elapsed: 696s | System: 32.0% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:11:53] Elapsed: 706s | System: 32.0% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:12:03] Elapsed: 716s | System: 32.0% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:12:14] Elapsed: 726s | System: 32.0% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:12:24] Elapsed: 737s | System: 32.0% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:12:34] Elapsed: 747s | System: 32.0% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:12:44] Elapsed: 757s | System: 32.0% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:12:55] Elapsed: 767s | System: 32.0% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:13:05] Elapsed: 778s | System: 32.0% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:13:15] Elapsed: 788s | System: 32.0% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:13:25] Elapsed: 798s | System: 32.0% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:13:35] Elapsed: 808s | System: 32.1% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:13:46] Elapsed: 818s | System: 32.1% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:13:56] Elapsed: 829s | System: 32.1% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:14:06] Elapsed: 839s | System: 32.2% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:14:16] Elapsed: 849s | System: 32.2% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:14:27] Elapsed: 859s | System: 32.2% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:14:37] Elapsed: 870s | System: 32.2% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:14:47] Elapsed: 880s | System: 32.2% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:14:57] Elapsed: 890s | System: 32.2% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:15:08] Elapsed: 900s | System: 31.7% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:15:18] Elapsed: 911s | System: 31.7% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:15:28] Elapsed: 921s | System: 31.7% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:15:38] Elapsed: 931s | System: 31.8% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:15:48] Elapsed: 941s | System: 31.8% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:15:59] Elapsed: 951s | System: 31.8% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:16:09] Elapsed: 962s | System: 31.8% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:16:19] Elapsed: 972s | System: 31.8% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:16:29] Elapsed: 982s | System: 31.8% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:16:39] Elapsed: 992s | System: 31.7% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:16:50] Elapsed: 1003s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:17:00] Elapsed: 1013s | System: 31.8% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:17:10] Elapsed: 1023s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:17:21] Elapsed: 1033s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:17:31] Elapsed: 1044s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:17:41] Elapsed: 1054s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:17:51] Elapsed: 1064s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:18:02] Elapsed: 1074s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:18:12] Elapsed: 1085s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:18:22] Elapsed: 1095s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:18:32] Elapsed: 1105s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:18:43] Elapsed: 1115s | System: 31.9% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
[2025-09-15 04:18:53] Elapsed: 1126s | System: 31.8% | Nodes: 6/7 | Total Memory: 0.5GB/1.9GB
