angle_deg,wind_speed_ref,sample_count,dp_ctr_mean,dp_ctr_std,dp_cw_mean,dp_cw_std,dp_ccw_mean,dp_ccw_std,temp_mean
-180,7.4,67,-26.323009950248757,5.17858691306355,-3.6392412935323386,3.273131512645693,2.361380597014926,1.9315836865074558,28.789950248756217
-150,7.4,67,-18.908893034825873,3.057212106169177,-27.73507462686567,4.5398295013757775,-1.2625621890547265,1.9949923695568945,28.19512437810945
-120,7.4,67,-4.096517412935324,1.8874132486701638,-28.18264925373134,4.190087879894535,3.910572139303483,2.3959841860747537,28.027014925373138
-90,7.4,67,-0.5211442786069651,2.181176338693691,-17.448694029850742,3.897097043356438,20.491915422885576,3.9753500346912034,28.102064676616912
-60,7.4,67,1.0661691542288556,1.8689126616545384,-2.7641791044776123,1.2922916277574503,32.05876865671642,4.4035213496600045,28.238084577114424
-30,7.4,67,20.94850746268657,4.0818479315150835,-0.5177238805970148,2.1776737182167136,14.796828358208954,2.80457392361301,28.370870646766168
0,7.4,67,28.819402985074625,4.191899625105098,-1.9161069651741298,1.3414385361815178,2.2453980099502484,1.650406398505596,28.428805970149252
30,7.4,67,13.379788557213931,3.270071825170847,25.60752487562189,5.940974401924584,3.973196517412936,2.5953174746646406,28.48507462686567
60,7.4,67,-4.374253731343283,2.2902798749868234,27.3773631840796,7.303247918107243,-4.475310945273632,2.3953894044084993,28.420870646766165
90,7.4,67,-2.6314676616915422,2.3528913667613525,13.373507462686566,3.7410743487816176,-26.10827114427861,5.952225738145407,28.34181592039801
120,7.4,67,-0.05031094527363183,1.4657579856682292,2.113619402985075,2.2591145293502426,-29.88202736318408,5.477711472242021,28.379004975124374
150,7.4,67,-16.81063432835821,3.5858525712470035,-2.924626865671642,2.0562022841655407,-22.526492537313437,3.7111183363413587,28.481144278606962
180,7.4,67,-29.64446517412935,4.171170475589827,-2.6610074626865674,1.841498059284601,0.10024875621890546,1.9069066448613916,28.552537313432833
